"Date","City","Type","Observations"
"2019-06-30","Nelson/ West Coast","Sentences","1110"
"2019-06-30","Nelson/ West Coast","Orders","177"
"2019-06-30","Nelson/ West Coast","Total","1287"
"2019-06-30","Otago","Sentences","1024"
"2019-06-30","Otago","Orders","283"
"2019-06-30","Otago","Total","1307"
"2019-06-30","Otago and South/ Mid Canterbury","Sentences",""
"2019-06-30","Otago and South/ Mid Canterbury","Orders",""
"2019-06-30","Otago and South/ Mid Canterbury","Total",""
"2019-06-30","Southland/ Central Otago","Sentences","720"
"2019-06-30","Southland/ Central Otago","Orders","179"
"2019-06-30","Southland/ Central Otago","Total","899"
"2019-06-30","Southland and Central/ South Otago","Sentences",""
"2019-06-30","Southland and Central/ South Otago","Orders",""
"2019-06-30","Southland and Central/ South Otago","Total",""
"2019-06-30","Taitokerau","Sentences","1439"
"2019-06-30","Taitokerau","Orders","510"
"2019-06-30","Taitokerau","Total","1949"
"2019-06-30","Taupo/ Rotorua","Sentences","1410"
"2019-06-30","Taupo/ Rotorua","Orders","478"
"2019-06-30","Taupo/ Rotorua","Total","1888"
"2019-06-30","Waikato","Sentences","2977"
"2019-06-30","Waikato","Orders","827"
"2019-06-30","Waikato","Total","3804"
"2019-06-30","Wairarapa/ Manawatu","Sentences","1527"
"2019-06-30","Wairarapa/ Manawatu","Orders","436"
"2019-06-30","Wairarapa/ Manawatu","Total","1963"
"2019-06-30","Waitemata","Sentences","2340"
"2019-06-30","Waitemata","Orders","536"
"2019-06-30","Waitemata","Total","2876"
"2019-06-30","Wellington","Sentences","1837"
"2019-06-30","Wellington","Orders","428"
"2019-06-30","Wellington","Total","2265"
"2019-06-30","Whanganui/ Taranaki","Sentences","1271"
"2019-06-30","Whanganui/ Taranaki","Orders","357"
"2019-06-30","Whanganui/ Taranaki","Total","1628"
"2019-06-30","Other","Sentences",""
"2019-06-30","Other","Orders",""
"2019-06-30","Other","Total",""
"2019-06-30","Auckland Region","Sentences",""
"2019-06-30","Auckland Region","Orders",""
"2019-06-30","Auckland Region","Total",""
"2019-06-30","Bay of Plenty Region","Sentences",""
"2019-06-30","Bay of Plenty Region","Orders",""
"2019-06-30","Bay of Plenty Region","Total",""
"2019-06-30","Canterbury Region","Sentences",""
"2019-06-30","Canterbury Region","Orders",""
"2019-06-30","Canterbury Region","Total",""
"2019-06-30","East Coast Region","Sentences",""
"2019-06-30","East Coast Region","Orders",""
"2019-06-30","East Coast Region","Total",""
"2019-06-30","Manukau Region","Sentences",""
"2019-06-30","Manukau Region","Orders",""
"2019-06-30","Manukau Region","Total",""
"2019-06-30","Nelson / Marlborough / West Coast Region","Sentences",""
"2019-06-30","Nelson / Marlborough / West Coast Region","Orders",""
"2019-06-30","Nelson / Marlborough / West Coast Region","Total",""
"2019-06-30","Northland Region","Sentences",""
"2019-06-30","Northland Region","Orders",""
"2019-06-30","Northland Region","Total",""
"2019-06-30","Otago / Southland Region","Sentences",""
"2019-06-30","Otago / Southland Region","Orders",""
"2019-06-30","Otago / Southland Region","Total",""
"2019-06-30","Taranaki / Whanganui / Manawatu Region","Sentences",""
"2019-06-30","Taranaki / Whanganui / Manawatu Region","Orders",""
"2019-06-30","Taranaki / Whanganui / Manawatu Region","Total",""
"2019-06-30","Waikato Region","Sentences",""
